1:	S=["Lady", "Grizel", "Baillie", "(\"née\"", "Hume;", "25", "December", "1665", "–", "6", "December", "1746)", "was", "a", "Scottish", "songwriter."]
707:	S=["Nielson", "Field", "(", "Luzon", ",", "the", "Philippines", ")", "was", "the", "location", "of", "the", "Far East Air Force", "headquarters.", "Most", "of", "the", "aircraft", "of", "the", "FEAF", "were", "based", "at", "either", "Clark Field", "or", "Nichols Field", "."]
	M=[[3, "Luzon"], [6, "Philippines"], [13, "Far East Air Force (United States)"], [26, "Clark Field"], [28, "Nichols Field"]]
708:	S=["Nichols", "Field", "was", "a", "U.S.", "military", "airfield", "located", "south", "of", "Manila", "in", "Pasay", "and", "Parañaque", ",", "Metro Manila", ",", "Luzon", ",", "the", "Philippines", ".", "The", "complex", "is", "located", "at", "Andrews Avenue", "by", "the", "north,", "Domestic Road", "by", "the", "west,", "NAIA Road", "and", "Ninoy Aquino Avenue", "by", "the", "southwest,", "Multinational", "Avenue", "by", "the", "south", "(the", "future", "C-5", "Extension),", "South Luzon Expressway", "and", "the", "Metro Manila Skyway", "by", "the", "east,", "and", "Sales", "Street", "by", "the", "northeast."]
	M=[[10, "Manila"], [12, "Pasay"], [14, "Parañaque"], [16, "Metro Manila"], [18, "Luzon"], [21, "Philippines"], [28, "Andrews Avenue"], [32, "Domestic Road"], [36, "NAIA Road"], [38, "Ninoy Aquino Avenue"], [49, "C-5 Road"], [51, "South Luzon Expressway"], [54, "Metro Manila Skyway"]]
709:	S=["Cubana", "de", "Aviación", "S.A.,", "commonly", "known", "as", "Cubana,", "is", "a", "national", "airline", "based", "in", "Cuba", ",", "as", "well", "as", "the", "country's", "largest", "airline.", "It", "was", "founded", "in", ",", "becoming", "one", "of", "the", "earliest", "airlines", "to", "emerge", "in", "Latin America", ".", "It", "has", "its", "corporate", "headquarters", "in", "Havana", ",", "and", "its", "main", "base", "is", "located", "at", "José Martí International Airport", ".", "Originally", "a", "subsidiary", "of", "Pan American World Airways", "and", "later", "a", "private", "company", "owned", "by", "Cuban", "investors,", "Cubana", "has", "been", "wholly", "owned", "by", "the", "Cuban government", "since", "May", "1959", "and", "celebrated", "its", "80th", "anniversary", "in", "2009."]
	M=[[14, "Cuba"], [37, "Latin America"], [45, "Havana"], [54, "José Martí International Airport"], [60, "Pan American World Airways"], [77, "Government of Cuba"]]
710:	S=["'Til", "Tuesday", "(often", "written", "as", "’til", "tuesday)", "was", "an", "American", "new wave", "band", "formed", "in", "Boston", "in", "1982.", "Its", "original", "lineup", "was", "bassist/vocalist", "Aimee Mann", ",", "guitarist/vocalist", "Robert Holmes", ",", "keyboardist", "Joey", "Pesce,", "and", "drummer", "Michael Hausman", ".", "They", "are", "best", "known", "for", "their", "1985", "top", "10", "smash", "\"", "Voices Carry", "\"."]
	M=[[10, "New wave music"], [14, "Boston"], [22, "Aimee Mann"], [25, "Robert Holmes (musician)"], [32, "Michael Hausman"], [45, "Voices Carry (song)"]]
711:	S=["Batman", "Dracula", "is", "a", "1964", "black", "and", "white", "American", "film", "produced", "and", "directed", "by", "Andy Warhol", ",", "without", "the", "permission", "of", "DC Comics", ",", "publishers", "of", "comics", "about", "the", "character", "Batman", "."]
	M=[[14, "Andy Warhol"], [20, "DC Comics"], [28, "Batman"]]
712:	S=["The", "Boland", "Amendment", "is", "a", "term", "describing", "three", "U.S.", "legislative", "amendments", "between", "1982", "and", "1984,", "all", "aimed", "at", "limiting", "U.S. government", "assistance", "to", "the", "Contras", "in", "Nicaragua", ".", "The", "first", "Boland", "Amendment", "was", "part", "of", "the", "House", "Appropriations", "Bill", "of", "1982,", "which", "was", "attached", "as", "a", "rider", "to", "the", "Defense", "Appropriations", "Act", "of", "1983,", "named", "for", "the", "Massachusetts", "Democrat", ",", "Representative", "Edward Boland", ",", "who", "authored", "it.", "The", "House of Representatives", "passed", "the", "Defense", "Appropriations", "Act", "411–0", "on", "December", "8,", "1982", "and", "it", "was", "signed", "by", "President", "Ronald Reagan", "on", "December", "21,", "1982.", "The", "amendment", "outlawed", "U.S.", "assistance", "to", "the", "Contras", "for", "the", "purpose", "of", "overthrowing", "the", "Nicaraguan", "government,", "while", "allowing", "assistance", "for", "other", "purposes."]
	M=[[19, "U.S. government"], [23, "Contras"], [25, "Nicaragua"], [45, "Rider (legislation)"], [56, "Massachusetts"], [57, "Democratic Party (United States)"], [60, "Edward Boland"], [66, "United States House of Representatives"], [83, "Ronald Reagan"], [95, "Contras"]]
713:	S=["Baghdad", "International", "Airport", "[Previously", "Saddam", "International", "Airport", "]", "()", "is", "Iraq", "'s", "largest", "airport,", "located", "in", "a", "suburb", "about", "west", "of", "downtown", "Baghdad", "in", "the", "Baghdad Governorate", ".", "It", "is", "the", "home", "base", "for", "Iraq's", "national", "airline,", "Iraqi Airways", "."]
	M=[[10, "Iraq"], [22, "Baghdad"], [25, "Baghdad Governorate"], [36, "Iraqi Airways"]]
714:	S=["Hell's", "Kitchen,", "also", "known", "as", "Clinton", "and", "Midtown", "West,", "is", "a", "neighborhood", "of", "Manhattan", "in", "New York City", ".", "It", "is", "traditionally", "considered", "to", "be", "bordered", "by", "34th Street", "in", "the", "south,", "59th Street", "in", "the", "north,", "Eighth Avenue", "in", "the", "east,", "and", "the", "Hudson River", "to", "the", "west.", "The", "area", "provides", "transport,", "medical,", "and", "warehouse", "infrastructure", "support", "to", "Manhattan's", "Midtown", "business", "district."]
	M=[[13, "Manhattan"], [15, "New York City"], [25, "34th Street (Manhattan)"], [29, "59th Street (Manhattan)"], [33, "Eighth Avenue (Manhattan)"], [39, "Hudson River"], [54, "Midtown Manhattan"]]
715:	S=["Eastbourne", "is", "a", "suburb", "of", "Lower Hutt", "city", "in", "the", "southern", "North Island", "of", "New Zealand", ".", "Its", "population", "is", "about", "4,600."]
	M=[[5, "Lower Hutt"], [10, "North Island"], [12, "New Zealand"]]
716:	S=["In", "Arthurian legend", ",", "Igraine", "is", "the", "mother", "of", "King Arthur", ".", "She", "is", "also", "known", "in", "Latin", "as", "\"Igerna\",", "in", "Welsh", "as", "Eigyr,", "in", "French", "as", "Igerne,", "in", "Thomas Malory", "'s", "\"Le", "Morte", "d'Arthur\"", "as", "Ygrayne—", "often", "modernized", "as", "Igraine—and", "in", "Wolfram von Eschenbach", "'s", "\"", "Parzival", "\"", "as", "Arnive.", "She", "becomes", "the", "wife", "of", "Uther Pendragon", ",", "but", "her", "first", "husband", "was", "Gorlois", ";", "her", "daughters", "by", "Gorlois", "are", "Elaine", ",", "Morgause", "and", "Morgan le Fay", "."]
	M=[[1, "Arthurian legend"], [8, "King Arthur"], [15, "Latin language"], [19, "Welsh language"], [23, "French language"], [27, "Thomas Malory"], [39, "Wolfram von Eschenbach"], [42, "Parzival"], [51, "Uther Pendragon"], [58, "Gorlois"], [65, "Elaine (legend)"], [67, "Morgause"], [69, "Morgan le Fay"]]
717:	S=["The", "Thuringian", "Forest", "(\"Thüringer", "Wald\"", "in", "German", "),", "running", "northwest", "to", "southeast,", "forms", "a", "continuous", "range", "of", "ancient", "rounded", "mountains", "posing", "ample", "difficulties", "in", "transit", "routing", "save", "through", "a", "few", "navigable", "passes", "in", "the", "southern", "reaches", "of", "the", "German", "state", "of", "Thuringia", ".", "It", "is", "about", "long", "and", "wide.", "The", "highest", "elevation", "is", "the", "\"", "Großer Beerberg", "\",", "."]
	M=[[6, "German language"], [38, "Germany"], [41, "Thuringia"], [55, "Großer Beerberg"]]
718:	S=["Altmarkkreis", "Salzwedel", "is", "a", "district", "in", "Saxony-Anhalt", ",", "Germany", ".", "It", "is", "bounded", "by", "(from", "the", "west", "and", "clockwise)", "the", "districts", "Gifhorn", ",", "Uelzen", ",", "Lüchow-Dannenberg", "in", "Lower Saxony", ",", "and", "the", "districts", "of", "Stendal", "and", "Börde (district)", "."]
	M=[[6, "Saxony-Anhalt"], [8, "Germany"], [21, "Gifhorn (district)"], [23, "Uelzen (district)"], [25, "Lüchow-Dannenberg"], [27, "Lower Saxony"], [33, "Stendal (district)"], [35, "Börde (district)"]]
719:	S=["Bothel", "is", "a", "municipality", "in", "the", "district of Rotenburg", ",", "Germany", "in", "the", "Stade Geest", "region", "of", "central", "Lower Saxony", ".", "It", "has", "2,500", "inhabitants.", "Bothel", "was", "founded", "by", "workers", "of", "the", "nearby", "\"Trochel", "Forest\".", "The", "name", "developed", "from", "\"Borstel\"", "which", "is", "Old Saxon", "and", "means", "\"little", "woods\"."]
	M=[[6, "Rotenburg (district)"], [8, "Germany"], [11, "Stade Geest"], [15, "Lower Saxony"], [38, "Old Saxon"]]
720:	S=["The", "Altmark", "(English:", "\"Old", "March", "\")", "is", "a", "historic", "region", "in", "Germany", ",", "comprising", "the", "northern", "third", "of", "Saxony-Anhalt", ".", "As", "the", "initial", "territory", "of", "the", "Brandenburg", "margraves,", "it", "is", "sometimes", "referred", "to", "as", "the", "\"Cradle", "of", "Prussia\",", "as", "by", "Otto von Bismarck", ",", "a", "native", "from", "Schönhausen", "near", "Stendal", "."]
	M=[[4, "Marches"], [11, "Germany"], [18, "Saxony-Anhalt"], [26, "Margraviate of Brandenburg"], [40, "Otto von Bismarck"], [45, "Schönhausen"], [47, "Stendal"]]
721:	S=["Brest", "(", "Берасце,", "\"Bieraście\";", ";", ";", ",", "Берестя", "\"Berestia\";", "\"Brisk\"),", "formerly", "also", "Brest-on-the-Bug", "and", "Brest-Litovsk", "(\"Брэст-Лiтоўск\"", "in", "Belarusian),", "is", "a", "city", "(population", "310,800", "in", "2010)", "in", "Belarus", "at", "the", "border", "with", "Poland", "opposite", "the", "Polish", "city", "of", "Terespol", ",", "where", "the", "Bug River", "and", "Mukhavets", "rivers", "meet.", "It", "is", "the", "capital", "city", "of", "the", "Brest voblast", "."]
	M=[[26, "Belarus"], [31, "Poland"], [37, "Terespol"], [41, "Bug River"], [43, "Mukhavets River"], [53, "Brest Region"]]
722:	S=["Marcus", "Alonzo", "\"Mark\"", "Hanna", "(September", "24,", "1837", "–", "February", "15,", "1904)", "was", "a", "Republican", "United States Senator", "from", "Ohio", "and", "the", "friend", "and", "political", "manager", "of", "President", "William McKinley", ".", "Hanna", "had", "made", "millions", "as", "a", "businessman,", "and", "used", "his", "money", "and", "business", "skills", "to", "successfully", "manage", "McKinley's", "presidential", "campaigns", "in", "1896", "and", "1900", "."]
	M=[[13, "Republican Party (United States)"], [14, "United States Senator"], [16, "Ohio"], [24, "President of the United States"], [25, "William McKinley"], [48, "United States presidential election, 1896"], [50, "United States presidential election, 1900"]]
723:	S=["Tikhvin", "Cemetery", "(Тихвинское", "кладбище)", "is", "located", "at", "the", "Alexander Nevsky Monastery", ",", "in", "Saint Petersburg", ",", "Russia", "."]
	M=[[8, "Alexander Nevsky Monastery"], [11, "Saint Petersburg"], [13, "Russia"]]
724:	S=["Frida", "Kahlo", "de", "Rivera", "(;", "July", "6,", "1907", "–", "July", "13,", "1954),", "born", "Magdalena", "Carmen", "Frieda", "Kahlo", "y", "Calderón,", "was", "a", "Mexican painter", "known", "for", "her", "self-portraits."]
	M=[[21, "Mexican art"]]
725:	S=["Oswald", "Myconius", "(1488,", "Lucerne", "–", "14", "October", "1552,", "Basel", ")", "was", "a", "follower", "of", "Huldrych Zwingli", "."]
	M=[[3, "Lucerne"], [8, "Basel"], [14, "Huldrych Zwingli"]]
726:	S=["Pierre", "Étienne", "Bézier", "(September", "1,", "1910", "–", "November", "25,", "1999;", ")", "was", "a", "French", "engineer", "and", "one", "of", "the", "founders", "of", "the", "fields", "of", "solid,", "geometric", "and", "physical", "modeling", "as", "well", "as", "in", "the", "field", "of", "representing", "curves,", "especially", "in", "CAD/CAM", "systems.", "As", "an", "engineer", "at", "Renault", ",", "he", "became", "a", "leader", "in", "the", "transformation", "of", "design", "and", "manufacturing,", "through", "mathematics", "and", "computing", "tools,", "into", "computer-aided", "design", "and", "three-dimensional", "modeling."]
	M=[[13, "France"], [46, "Renault"]]
727:	S=["Sveinn", "Björnsson", "(pronounced", ";", "27", "February", "1881", "–", "25", "January", "1952),", "son", "of", "Björn Jónsson", "(editor", "and", "later", "minister)", "and", "Elísabet", "Sveinsdóttir,", "was", "the", "first President", "of", "the", "Republic of Iceland", "(1944–1952)."]
	M=[[13, "Björn Jónsson"], [23, "President of Iceland"], [26, "Republic of Iceland"]]
728:	S=["Ásgeir", "Ásgeirsson", "(pronounced", ";", "13", "May", "1894", "–", "15", "September", "1972)", "was", "the", "second President", "of", "Iceland", ",", "from", "1952", "to", "1968."]
	M=[[13, "President of Iceland"], [15, "Iceland"]]
729:	S=["Dr.", "Kristján", "Eldjárn", "(;", "6", "December", "1916", "–", "14", "September", "1982)", "was", "the", "third President", "of", "Iceland", ",", "from", "1968", "to", "1980."]
	M=[[13, "President of Iceland"], [15, "Iceland"]]
730:	S=["Ólafur", "Ragnar", "Grímsson", ",", "(born", "14", "May", "1943)", "is", "the", "fifth President", "of", "Iceland", ",", "having", "served", "since", "1996;", "he", "was", "unopposed", "in", "2000,", "re-elected", "for", "a", "third", "term", "in", "2004,", "re-elected unopposed", "for", "a", "fourth", "term", "in", "2008", "and", "re-elected", "for", "a", "record", "fifth", "term", "in", "2012.", "He", "announced", "in", "his", "new", "year's", "message", "on", "1", "January", "2016,", "that", "he", "would", "be", "stepping", "down", "from", "the", "presidency", "at", "the", "end", "of", "his", "fifth", "term,", "namely", "on", "1", "August", "2016."]
	M=[[10, "President of Iceland"], [12, "Iceland"], [23, "Icelandic presidential election 2004"], [30, "Icelandic presidential election, 2008"], [38, "Icelandic presidential election, 2012"]]
731:	S=["The", "Norfolk", "Naval", "Shipyard,", "often", "called", "the", "Norfolk", "Navy", "Yard", "and", "abbreviated", "as", "NNSY,", "is", "a", "U.S. Navy", "facility", "in", "Portsmouth", ",", "Virginia", ",", "for", "building,", "remodeling,", "and", "repairing", "the", "Navy's", "ships.", "It's", "the", "oldest", "and", "largest", "industrial", "facility", "that", "belongs", "to", "the", "U.S.", "Navy", "as", "well", "as", "the", "most", "multifaceted.", "Located", "on", "the", "Elizabeth River", ",", "the", "yard", "is", "just", "a", "short", "distance", "upriver", "from", "its", "mouth", "at", "Hampton Roads", "."]
	M=[[16, "United States Navy"], [19, "Portsmouth, Virginia"], [21, "Virginia"], [53, "Elizabeth River (Virginia)"], [67, "Hampton Roads, Virginia"]]
732:	S=["David", "Ashworth", "Gates", "(born", "December", "11,", "1940)", "is", "an", "American", "singer-songwriter", "and", "producer,", "best", "known", "as", "the", "lead", "singer", "of", "the", "group", "Bread", ",", "which", "reached", "the", "tops", "of", "the", "musical", "charts", "in", "Europe", "and", "North", "America", "on", "several", "occasions", "in", "the", "1970s.", "The", "band", "was", "inducted", "into", "the", "Vocal Group Hall of Fame", "."]
	M=[[22, "Bread (band)"], [49, "Vocal Group Hall of Fame"]]
733:	S=["Richard", "Brinsley", "Butler", "Sheridan", "(30", "October", "17517", "July", "1816)", "was", "an", "Irish", "playwright", "and", "poet", "and", "long-term", "owner", "of", "the", "London", "Theatre Royal, Drury Lane", ".", "He", "is", "known", "for", "his", "plays", "such", "as", "\"", "The Rivals", "\",", "\"", "The School for Scandal", "\",", "\"", "The Duenna", "\"", "and", "\"", "A Trip to Scarborough", "\".", "For", "thirty-two", "years", "he", "was", "also", "a", "Whig", "Member", "of", "the", "British House of Commons", "for", "Stafford", "(1780–1806),", "Westminster", "(1806–1807)", "and", "Ilchester", "(1807–1812).", "He", "is", "buried", "at", "Poets' Corner", "in", "Westminster Abbey", "."]
	M=[[21, "Theatre Royal, Drury Lane"], [32, "The Rivals"], [35, "The School for Scandal"], [38, "The Duenna"], [42, "A Trip to Scarborough"], [51, "Whig (British political party)"], [55, "House of Commons of the United Kingdom"], [57, "Stafford (UK Parliament constituency)"], [59, "Westminster (UK Parliament constituency)"], [62, "Ilchester (UK Parliament constituency)"], [68, "Poets' Corner"], [70, "Westminster Abbey Burials and Memorials"]]
734:	S=["Amorica", "is", "the", "third", "album", "by", "The Black Crowes", ".", "Spawned", "from", "their", "unreleased", "scrapped", "album", "\"Tall\",", "\"Amorica\"", "was", "released", "in", "late", "1994", "on", "American Recordings", "and", "re-issued", "in", "the", "UK", "in", "1998", "with", "two", "bonus", "tracks.", "The", "album", "was", "banned", "from", "some", "stores", "like", "Walmart", "and", "Kmart", ",", "due", "to", "its", "sexually", "explicit", "album", "cover,", "which", "features", "a", "woman's", "crotch", "wearing", "a", "United States", "flag", "thong", "with", "pubic", "hair", "sticking", "out.", "The", "picture", "was", "from", "the", "cover", "of", "a", "July", "1976", "\"", "Hustler", "\"", "magazine.", "The", "image", "was", "censored", "and", "replaced", "with", "a", "black", "background", "which", "only", "featured", "the", "triangle.", "\"Amorica\"", "eventually", "reached", "Gold", "status", "in", "the", "United", "States,", "shipping", "500,000", "copies."]
	M=[[6, "The Black Crowes"], [22, "American Recordings (US)"], [42, "Walmart"], [44, "Kmart"], [60, "United States"], [79, "Hustler"]]
735:	S=["Oglethorpe", "University", "is", "a", "private,", "liberal arts college", "in", "Brookhaven", ",", "an", "inner", "suburb", "of", "Atlanta", ",", "in", "the", "U.S. state", "of", "Georgia", ".", "Originally", "chartered", "in", "1834,", "it", "was", "named", "in", "honor", "of", "General", "James Edward Oglethorpe", ",", "founder", "of", "the", "Colony", "of", "Georgia."]
	M=[[5, "Liberal arts colleges in the United States"], [7, "Brookhaven, Georgia"], [13, "Atlanta"], [17, "U.S. state"], [19, "Georgia (U.S. state)"], [32, "James Edward Oglethorpe"]]
736:	S=["The", "United", "Nations", "Secretariat", "()", "is", "one", "of", "the", "six", "major", "organs", "of", "the", "United Nations", "(a)", "the", "General Assembly", ";", "(b)", "the", "Security Council", ";", "(c)", "the", "Economic and Social Council", ";", "(d)", "the", "defunct", "Trusteeship Council", ";", "and", "(e)", "the", "International Court of Justice", ".", "The", "Secretariat", "is", "the", "United", "Nations'", "executive", "arm.", "The", "Secretariat", "has", "an", "important", "role", "in", "setting", "the", "agenda", "for", "the", "UN's", "deliberative", "and", "decision", "making", "bodies", "of", "the", "UN", "(the", "General", "Assembly,", "Economic", "and", "Social", "Council,", "and", "Security", "Council),", "and", "the", "implementation", "of", "the", "decision", "of", "these", "bodies.", "Secretary-General", ",", "who", "is", "appointed", "by", "the", "General", "Assembly,", "is", "the", "head", "of", "the", "secretariat."]
	M=[[14, "United Nations"], [17, "United Nations General Assembly"], [21, "United Nations Security Council"], [25, "United Nations Economic and Social Council"], [30, "United Nations Trusteeship Council"], [35, "International Court of Justice"], [85, "Secretary-General of the United Nations"]]
737:	S=["Naunton", "Wayne", "(22", "June", "1901", "–", "17", "November", "1970),", "was", "a", "British", "character", "actor,", "born", "Henry", "Wayne", "Davies", "in", "Llanwonno", ",", "Glamorgan", ",", "Wales.", "He", "was", "educated", "at", "Clifton College", "."]
	M=[[19, "Llanwonno"], [21, "Glamorgan"], [28, "Clifton College"]]
738:	S=["Simon", "Weston", "CBE", "(born", "8", "August", "1961)", "is", "a", "veteran", "of", "the", "British Army", "who", "has", "become", "well", "known", "throughout", "the", "United", "Kingdom", "for", "his", "recovery", "and", "charity", "work", "after", "suffering", "severe", "burn injuries", "during", "the", "Falklands War", "."]
	M=[[2, "Order of the British Empire"], [12, "British Army"], [31, "Burn (injury)"], [34, "Falklands War"]]
739:	S=["John", "Wilkes", "(17", "October", "1725", "–", "26", "December", "1797)", "was", "an", "English", "radical", ",", "journalist,", "and", "politician."]
	M=[[12, "Radicalism (historical)"]]
740:	S=["William", "John", "Owen", "Rowbotham,", "(14", "March", "1914", "–", "12", "July", "1999),", "better", "known", "as", "Bill", "Owen,", "was", "an", "English", "actor", "and", "songwriter.", "He", "was", "the", "father", "of", "actor", "Tom Owen", "."]
	M=[[28, "Tom Owen (actor)"]]
741:	S=["Pettit", "Barracks", "was", "located", "in", "Zamboanga City", "(", "Mindanao", ",", "the", "Philippines", ")", "and,", "along", "with", "Camp John Hay", ",", "was", "the", "location", "of", "the", "US Army's", "43d Infantry Regiment (PS)", "."]
	M=[[5, "Zamboanga City"], [7, "Mindanao"], [10, "Philippines"], [15, "Camp John Hay"], [22, "United States Army"], [23, "43d Infantry Regiment (PS)"]]
742:	S=["Cadet", "Kelly", "is", "a", "2002", "Disney Channel Original Movie", "starring", "Hilary Duff", ".", "The", "film", "premiered", "with", "7.8", "million", "viewers.", "It", "is", "Duff's", "second", "starring", "film", "role,", "her", "first", "being", "\"", "Casper Meets Wendy", "\".", "This", "was", "Disney", "Channel's", "second", "film", "filmed", "in", "Canada", "."]
	M=[[5, "List of Disney Channel Original Movies"], [7, "Hilary Duff"], [27, "Casper Meets Wendy"], [37, "Canada"]]
743:	S=["Tore", "Olaus", "Engset", "was", "born", "8", "May", "1865", "in", "the", "county", "of", "Sunnmøre", "in", "western", "Norway.", "After", "he", "graduated", "school", "at", "the", "age", "of", "18,", "Engset", "was", "admitted", "to", "the", "telegraph", "school", "in", "Stavanger", "in", "1883,", "a", "decisive", "career", "move.", "He", "received", "his", "certificate", "in", "a", "year", "and", "took", "employment.", "In", "his", "spare", "time", "he", "continued", "his", "studies,", "graduating", "in", "1892", "but", "continuing", "his", "university", "studies.", "Engset", "received", "an", "M.Sc.", "in", "physics", "and", "mathematics", "(1894)", "at", "University of Oslo", ",", "after", "which", "he", "worked", "at", "Televerket", "as", "office", "worker,", "traffic", "analyst", "and", "later", "at", "age", "65", "director general", "(1921-22", "(acting),", "1930–35)."]
	M=[[12, "Sunnmøre"], [69, "M.Sc."], [76, "University of Oslo"], [83, "Televerket (Norway)"], [94, "Director-general"]]
744:	S=["Baguio,", "officially", "the", "City", "of", "Baguio", "(", "Ibaloi", ":", "\"Ciudad", "ni", "Bagiw\";", ";", ";", ")", "and", "often", "referred", "to", "as", "Baguio", "City,", "is", "a", "highly urbanized city", "in", "northern", "Luzon", "in", "the", "Philippines", ".", "It", "is", "geographically", "within", "Benguet", ",", "serving", "as", "the", "provincial", "capital", "from", "1901", "to", "1916,", "but", "has", "since", "been", "administered", "independently", "from", "the", "province", "following", "its", "conversion", "into", "a", "chartered", "city.", "The", "city", "has", "become", "the", "center", "of", "business,", "commerce,", "and", "education", "in", "northern", "Luzon,", "as", "well", "as", "the", "seat", "of", "government", "of", "the", "Cordillera Administrative Region", "(C.A.R.).", "According", "to", "the", "2010", "census,", "Baguio", "has", "a", "population", "of", "318,676."]
	M=[[7, "Ibaloi language"], [24, "Cities of the Philippines"], [27, "Luzon"], [30, "Philippines"], [36, "Benguet"], [86, "Cordillera Administrative Region"]]
745:	S=["Baguio", "is", "a", "city", "in", "the", "Philippines."]
	M=[[0, "Baguio"]]
746:	S=["The", "year", "2001", "in", "film", "involved", "some", "significant", "events,", "including", "the", "first", "of", "the", "\"", "Harry Potter", "\"", "series", "and", "also", "the", "first", "of", "\"", "The Lord of the Rings", "\"", "trilogy.", "Significant", "non-English", "language", "films", "released", "included", "\"", "Monsoon Wedding", "\"", "and", "\"", "Amélie", "\"."]
	M=[[15, "Harry Potter (film series)"], [24, "The Lord of the Rings (film series)"], [34, "Monsoon Wedding"], [38, "Amélie"]]
747:	S=["The", "Mingus", "Big", "Band", "is", "an", "ensemble,", "based", "in", "New York City", ",", "that", "specializes", "in", "the", "compositions", "of", "Charles Mingus", ".", "It", "is", "managed", "by", "his", "widow,", "Sue Mingus", ",", "along", "with", "the", "Mingus", "Orchestra", "and", "Mingus", "Dynasty.", "In", "addition", "to", "its", "weekly", "Monday", "night", "appearance", "at", "Jazz", "Standard", "in", "New", "York", "City,", "the", "Mingus", "Big", "Band", "also", "tours", "frequently", "giving", "performances", "and", "clinics", "in", "America,", "Europe", "and", "other", "parts", "of", "the", "world."]
	M=[[9, "New York City"], [17, "Charles Mingus"], [25, "Sue Mingus"]]
748:	S=["Hugo", "Banzer", "Suárez", "(May", "10,", "1926", "–", "May", "5,", "2002)", "was", "a", "Bolivia", "n", "politician,", "military", "general", "and", "President of Bolivia", ".", "He", "held", "the", "Bolivian", "presidency", "twice:", "from", "1971", "to", "1978,", "as", "a", "dictator;", "and", "then", "again", "from", "1997", "to", "2001,", "as", "constitutional", "President."]
	M=[[12, "Bolivia"], [18, "President of Bolivia"]]
749:	S=["Guerrilla", "communication", "and", "communication", "guerrilla", "refer", "to", "an", "attempt", "to", "provoke", "subversive", "effects", "through", "interventions", "in", "the", "process", "of", "communication."]
	M=[[11, "Subversion"]]
750:	S=["Sari", "Nusseibeh", "()", "(born", "in", "1949)", "is", "a", "Palestinian", "Professor", "of", "Philosophy", "and", "former", "President", "of", "the", "Al-Quds University", "in", "Jerusalem.", "Until", "December", "2002", "he", "was", "the", "representative", "of", "the", "Palestinian National Authority", "in", "that", "city.In", "2008,", "in", "an", "open", "online", "poll,", "Nusseibeh", "was", "voted", "the", "24th", "most", "influential", "intellectual", "in", "the", "world", "on", "the", "list", "of", "Top 100 Public Intellectuals", "by", "\"", "Prospect Magazine", "\"", "(", "UK", ")", "and", "\"", "Foreign Policy", "\"", "(", "United States", ").", "He", "lives", "with", "his", "family", "in", "Beit Hanina", "."]
	M=[[8, "Palestinian people"], [11, "Philosophy"], [17, "Al-Quds University"], [29, "Palestinian National Authority"], [54, "Top 100 Public Intellectuals Poll"], [57, "Prospect (magazine)"], [60, "UK"], [64, "Foreign Policy (magazine)"], [67, "United States"], [75, "Beit Hanina"]]
751:	S=["A", "decimal", "calendar", "is", "a", "calendar", "which", "includes", "units of time", "based", "on", "the", "decimal system", "."]
	M=[[8, "Unit of time"], [12, "Decimal"]]
752:	S=["The", "flag", "of", "the", "Democratic", "People's", "Republic", "of", "Korea", "is", "the", "ensign and national flag", "of", "North Korea", ".", "It", "was", "adopted", "on", "8", "September", "1948", "and", "is", "defined", "in", "Article", "170", "of", "Chapter", "VII", "of", "the", "North", "Korean", "constitution."]
	M=[[11, "Glossary of vexillology"], [13, "North Korea"]]
753:	S=["Henry", "the", "Proud", "()", "(", "–", "20", "October", "1139),", "a", "member", "of", "the", "House of Welf", ",", "was", "Duke of Bavaria", "(as", "Henry", "X)", "from", "1126", "to", "1138", "and", "Duke of Saxony", "(as", "Henry", "II)", "as", "well", "as", "Margrave of Tuscany", "and", "Duke of Spoleto", "from", "1137", "until", "his", "death.", "In", "1138", "he", "was", "a", "candidate", "for", "the", "election", "as", "King of the Romans", "but", "was", "defeated", "by", "Conrad of Hohenstaufen", "."]
	M=[[13, "House of Welf"], [16, "List of rulers of Bavaria"], [25, "List of rulers of Saxony"], [32, "Margrave of Tuscany"], [34, "Duke of Spoleto"], [48, "Imperial election"], [50, "King of the Romans"], [55, "Conrad III of Germany"]]
754:	S=["Las", "Piñas,", "officially", "called", "the", "City", "of", "Las", "Piñas", "(", "Filipino", ":", "\"Lungsod", "ng", "Las", "Piñas\"),", "is", "a", "city", "in", "the", "National Capital Region", "of", "the", "Philippines", ".", "According", "to", "the", ",", "it", "has", "a", "population", "of", "."]
	M=[[10, "Filipino language"], [21, "Metro Manila"], [24, "Philippines"]]
755:	S=["Facel", "S.A.", "was", "a", "French", "manufacturer", "of", "pressed", "steel", "automobile", "components,", "later", "complete", "automobiles", "to", "their", "own", "design,", "founded", "in", "1939", "to", "make", "components", "for", "Bronzavia's", "military", "aircraft.", "In", "1945", "in", "conjunction", "with", "Metallon", "Facel", "began", "to", "make", "short-run", "special", "bodies,", "coupés", "or", "cabriolets,", "for", "Simca", ",", "Ford", ",", "Panhard", "and", "Delahaye", "."]
	M=[[4, "France"], [45, "Simca"], [47, "Ford"], [49, "Panhard"], [51, "Delahaye"]]
756:	S=["The", "following", "is", "a", "list", "of", "Premier", "s", "of", "North Korea", "since", "its", "founding", "in", "1948."]
	M=[[6, "Premier of North Korea"], [9, "North Korea"]]
